Name,Ratings,Price,Link,Reviews,asin,nutrition
0,Liquid I.V. Hydration Multiplier - Lemon Lime - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 16 Stick  ,4.7,23.95,https://www.amazon.com/Liquid-I-V-Multiplier-Electrolyte-Supplement/dp/B01IT9NLHW/ref=sr_1_1?qid=1670321870&s=hpc-intl-ship&sr=1-1,98749,B01IT9NLHW,"Pure Cane Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Dipotassium Phosphate, Silicon Dioxide, Rebaudioside A , Natural Flavor, Vitamin C , Vitamin B3 , Vitamin B5 , Vitamin B6 , Vitamin B12 "
1,"PreserVision AREDS 2 Eye Vitamin & Mineral Supplement, Contains Lutein, Vitamin C, Zeaxanthin, Zinc & Vitamin E, 120 Softgels (Packaging May Vary)  ",4.7,29.98,https://www.amazon.com/PreserVision-AREDS-Vitamin-Mineral-Supplement/dp/B00DJUK8HS/ref=sr_1_2?qid=1670321870&s=hpc-intl-ship&sr=1-2,44850,B00DJUK8HS,See packaging for ingredients
2,"Quest Nutrition Chocolate Chip Cookie Dough Protein Bars, High Protein, Low Carb, Gluten Free, Keto Friendly, 12 Count  ",4.4,31.95,https://www.amazon.com/Quest-Nutrition-Chocolate-Protein-Friendly/dp/B00DLDH1N2/ref=sr_1_3?qid=1670321870&s=hpc-intl-ship&sr=1-3,15805,B00DLDH1N2,"Protein Blend , Isomalto-Oligosaccharides , Almonds, Water, Unsweetened Chocolate, Cocoa Butter, Erythritol. Contains less than 2% of the following: Salt, Sucralose, Stevia, Peanuts, Cashews, Milk, Natural Flavorings."
3,"Premier Protein Shake 30g Protein 1g Sugar 24 Vitamins Minerals Nutrients to Support Immune Health, Chocolate, 11.5 Fl Oz (Pack of 12)  ",4.6,59.95,https://www.amazon.com/Premier-Protein-Shake-Chocolate-11-5/dp/B07MJL8NXR/ref=sr_1_4?qid=1670321870&s=hpc-intl-ship&sr=1-4,191825,B07MJL8NXR,"Water, Milk Protein Concentrate, Calcium Caseinate, Cocoa Powder , Contains less than 1% of High Oleic Sunflower Oil, Natural and Artificial flavors, Inulin, Cellulose Gel and Cellulose Gum, Salt, Sucralose, Acesulfame Potassium, Carrageenan, Tripotassium Phosphate, Dipotassium Phosphate, Sodium Hexametaphosphate, Vitamin and Mineral Blend , Magnesium Phosphate, Sodium Ascorbate. CONTAINS MILK. Source of Protein"
4,"Nutricost Creatine Monohydrate Micronized Powder 500G, 5000mg Per Serv (5g) - Micronized Creatine Monohydrate, 100 Servings  ",4.7,15.97,https://www.amazon.com/Nutricost-Creatine-Monohydrate-Micronized-Powder/dp/B00GL2HMES/ref=sr_1_5?qid=1670321870&s=hpc-intl-ship&sr=1-5,14199,B00GL2HMES,Creatine Monohydrate 
5,"One A Day Men’s Multivitamin, Supplement with Vitamin A, Vitamin C, Vitamin D, Vitamin E and Zinc for Immune Health Support, B12, Calcium & more, 200 count  ",4.7,16.88,https://www.amazon.com/Mens-Health-Formula-Multivitamin-Count/dp/B001F71XAI/ref=sr_1_6?qid=1670321870&s=hpc-intl-ship&sr=1-6,36730,B001F71XAI,"Calcium Carbonate, Magnesium Oxide, Microcrystalline Cellulose, Ascorbic Acid, Croscarmellose Sodium, Gelatin, Maltodextrin, Dl-Alpha-Tocopheryl Acetate, Zinc Oxide, Niacinamide, Starch, Crospovidone, Brewer's Yeast, Dicalcium Phosphate, Hydroxypropyl Methylcellulose, Stearic Acid, Silicon Dioxide, Manganese Sulfate, Sucrose, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Cupric Oxide, Riboflavin, Glucose, Modified Food Starch, Glucose Syrup, Thiamine Mononitrate, Vitamin A Acetate, Triacetin, Chromium Chloride, Soybean Oil, Polyethylene Glycol, Folic Acid, Sodium Selenate, Beta-Carotene, Lycopene, Sodium Ascorbate, Ascorbyl Palmitate, Biotin, Phytonadione, Cholecalciferol, Cyanocobalamin, Tricalcium Phosphate. Vitamin A, Vitamin C, Calcium, Iron, Vitamin D, Riboflavin, Magnesium, Thiamin, Niacin, Folic Acid, Zinc, Vitamin E, Vitamin B12, Vitamin B6, Selenium, Copper, Manganese, Chromium, Lycopene, Biotin, Pantothenic Acid."
6,BULKSUPPLEMENTS.COM Creatine Monohydrate Powder (Micronized Creatine) - Creatine Powder for Pre-Workout and Post Workout - 5g (5000mg) per Serving (500 Grams - 1.1 lbs)  ,4.6,28.96,https://www.amazon.com/Monohydrate-Micronized-BulkSupplements-Performance-Supplement/dp/B00E9M4XFI/ref=sr_1_7?qid=1670321870&s=hpc-intl-ship&sr=1-7,38161,B00E9M4XFI,Creatine Monohydrate
7,"Life Extension Neuro-Mag Magnesium L-Threonate, 90 Vegetarian Capsules Ultra-Absorbable Magnesium - Memory, Focus & Overall Cognitive Performance Boost - Non-GMO, Gluten-Free  ",4.6,30.76,https://www.amazon.com/Life-Extension-Neuro-Mag-L-Threonate-Vegetarian/dp/B006P536E6/ref=sr_1_8?qid=1670321870&s=hpc-intl-ship&sr=1-8,10809,B006P536E6,"Magnesium  144 mg; Other ingredients: vegetable cellulose , microcrystalline cellulose, stearic acid, silica, vegetable stearate."
8,"Orgain Organic Vegan Protein Powder, Vanilla Bean - 21g of Plant Based Protein, Low Net Carbs, Gluten Free, Lactose Free, No Sugar Added, Soy Free, Kosher, Non-GMO, 2.03 Lb  ",4.5,40.0,https://www.amazon.com/Orgain-Organic-Protein-Powder-Vanilla/dp/B00J074W7Q/ref=sr_1_9?qid=1670321870&s=hpc-intl-ship&sr=1-9,56565,B00J074W7Q,"Orgain Organic Protein Blend , Orgain Organic Creamer Base , Organic Erythritol, Organic Natural Flavors, Natural Flavor, Sea Salt, Organic Acacia Gum, Organic Guar Gum, Organic Stevia, Xanthan Gum"
9,"Atkins Gluten Free Protein-Rich Shake, Milk Chocolate Delight, Keto Friendly (Pack of 12), 11 Fl Oz  ",4.7,50.49,https://www.amazon.com/Atkins-Protein-Rich-Chocolate-Delight-Friendly/dp/B0015068PA/ref=sr_1_10?qid=1670321870&s=hpc-intl-ship&sr=1-10,37871,B0015068PA,"INGREDIENTS: WATER, DAIRY PROTEIN BLEND , CREAM, SUNFLOWER OIL, COCOA POWDER , SOY PROTEIN ISOLATE, CELLULOSE GEL, NATURAL AND ARTIFICIAL FLAVORS, DIPOTASSIUM PHOSPHATE, SODIUM HEXAMETAPHOSPHATE, CELLULOSE GUM, SALT, CARRAGEENAN, ACESULFAME POTASSIUM, SUCRALOSE. VITAMIN & MINERAL BLEND: CALCIUM PHOSPHATE, SODIUM ASCORBATE , ZINC GLUCONATE, DL-ALPHA-TOCOPHERYL ACETATE , NIACINAMIDE , MANGANESE GLUCONATE, D-CALCIUM PANTOTHENATE , PYRIDOXINE HYDROCHLORIDE , THIAMIN HYDROCHLORIDE , RIBOFLAVIN , CHROMIUM CHLORIDE, FOLIC ACID , BIOTIN , POTASSIUM IODIDE, SODIUM MOLYBDATE, SODIUM SELENITE, PHYLLOQUINONE , CYANOCOBALAMIN , CHOLECALCIFEROL . CONTAINS MILK, SOY."
10,"Optimum Nutrition Micronized Creatine Monohydrate Powder, Unflavored, Keto Friendly, 120 Servings (Packaging May Vary)  ",4.6,36.0,https://www.amazon.com/Optimum-Nutrition-Micronized-Monohydrate-Unflavored/dp/B002DYIZEO/ref=sr_1_11?qid=1670321870&s=hpc-intl-ship&sr=1-11,69607,B002DYIZEO,Creatine Monohydrate.
11,"Thorne Creatine - Creatine Monohydrate, Amino Acid Powder - Support Muscles, Cellular Energy and Cognitive Function - Gluten-Free, Keto - NSF Certified for Sport - 16 Oz - 90 Servings  ",4.6,69.95,https://www.amazon.com/Thorne-Creatine-High-Quality-Monohydrate-Gluten-Free/dp/B07978VPPH/ref=sr_1_12?qid=1670321870&s=hpc-intl-ship&sr=1-12,6356,B07978VPPH,"Lean body mass, Endurance, Energy"
12,"Natural Vitality Calm, Magnesium Citrate Supplement, Anti-Stress Drink Mix Powder - Gluten Free, Vegan, & Non-GMO, Raspberry Lemon, 16 oz  ",4.6,25.82,https://www.amazon.com/Natural-Vitality-Anti-Stress-Supplement-Raspberry/dp/B00BPUY3W0/ref=sr_1_13?qid=1670321881&s=hpc-intl-ship&sr=1-13,35123,B00BPUY3W0,"Magnesium, citric acid, organic lemon flavor, organic raspberry flavor, organic stevia  extract"
13,"Nature Made Fish Oil 1000 mg, 250 Softgels Value Size, Fish Oil Omega 3 Supplement For Heart Health  ",4.8,29.96,https://www.amazon.com/Nature-Made-Omega-3-Softgels-Count/dp/B0046XC528/ref=sr_1_14?qid=1670321881&s=hpc-intl-ship&sr=1-14,33526,B0046XC528,"Gelatin, Glycerin, Water, TocopherolsFish Oil ConcentrateOmega-3 Fatty AcidsOmega-3 Other "
14,"Doctor's Best High Absorption CoQ10 with BioPerine, Gluten Free, Naturally Fermented, Heart Health, Energy Production, 100 mg, 120 Count  ",4.6,22.49,https://www.amazon.com/Doctors-Best-Absorption-BioPerine-Production/dp/B0019GW3G8/ref=sr_1_15?qid=1670321881&s=hpc-intl-ship&sr=1-15,25938,B0019GW3G8,"Coenzyme Q10 100 mg, Black pepper ext.  5 mg; Extra virgin olive oil , beeswax, soy lecithin, rosemary extract, softgel capsule "
15,"Nuun Sport: Electrolyte Drink Tablets, Citrus Berry Mixed Box, 10 Count (Pack of 4)  ",4.5,29.99,https://www.amazon.com/Nuun-Hydration-Electrolyte-Essential-Electrolytes/dp/B019GU4ILQ/ref=sr_1_16?qid=1670321881&s=hpc-intl-ship&sr=1-16,36667,B019GU4ILQ,"Plop. Fizz. Drink. GO! Fill your reusable sports bottle with 16 oz. of water. Drop in your choice of a flavored Nuun Sport tablet. Wait up to 3 minutes for tablet to fully dissolve. Cheers, time to hydrate and get muuving!"
16,"NOW Supplements, Vitamin D-3 5,000 IU, High Potency, Structural Support*, 240 Softgels  ",4.8,13.99,https://www.amazon.com/NOW-Vitamin-D-3-000-Softgels/dp/B0032BH76O/ref=sr_1_17?qid=1670321881&s=hpc-intl-ship&sr=1-17,37678,B0032BH76O,"Supplement Facts Serving Size: 1 Softgel Servings Per Container: 240 Description Amount per Serving % Daily Value * Percent Daily Values are based on 2,000 calorie diet.†  Daily Value not established. Vitamin D3   5,000 IU 1250% Other Ingredients: Extra Virgin Olive Oil and Softgel Capsule . Not manufactured with yeast, wheat, gluten, milk, egg, fish, shellfish or tree nut ingredients. Produced in a GMP facility that processes other ingredients containing these allergens. Caution: For adults only. Do not exceed the recommended dose. Consult physician if pregnant/nursing, taking medication , or have a medical condition . Keep out of reach of children. Store in a cool, dry place after opening. Please Recycle. *These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease."
17,"Quest Nutrition Chocolate Chip Protein Cookie, Keto Friendly, High Protein, Low Carb, Soy Free, 12 Count ""Packaging may vary""  ",4.3,20.95,https://www.amazon.com/Quest-Nutrition-Chocolate-Protein-Cookie/dp/B077QK3NX4/ref=sr_1_18?qid=1670321881&s=hpc-intl-ship&sr=1-18,50988,B077QK3NX4,"Protein Blend , Butter , Soluble Corn Fiber, Erythritol, Unsweetened Chocolate, Palm Oil, Calcium Caseinate, Natural Flavors, Water, Cocoa Butter. Contains less than 2% of the following: Sunflower Lecithin, Sea Salt, Baking Soda, Sodium Caseinate, Xantham Gum, Steviol Glycosides , Peanuts."
